"Term","Repo","File","Ext","Bucket","Frequency","Context"
"EWH","FileEssenceTraverser_list.txt","C:\GITX\FileEssenceTraverser_list.txt",".txt","Overlap","1","10/01/2025 07:34 PM 2,523 r5ouxpdewh-iqhxebzz7y.gz"
"BlueWording","FileEssenceTraverser","C:\GITX\FileEssenceTraverser\EssenceTraverser.Web\index.html",".html","Unknown","1","<title>BlueWording • EssenceTraverser.Web</title>"
"constFactor","FileEssenceTraverser","C:\GITX\FileEssenceTraverser\FileEssenceTraverser.Core\FileEssenceTraverserLevelFirst.cs",".cs","Code","1","// --- BYTE MASKS (constFactor newNumericalCollection) ---"
"EWH","FileEssenceTraverser","C:\GITX\FileEssenceTraverser\FileEssenceTraverser.Core\FileEssenceTraverserLevelFirst.cs",".cs","Code","2","// This is where a proper EWH would be logged."
"hotFactor","FileEssenceTraverser","C:\GITX\FileEssenceTraverser\FileEssenceTraverser.Core\FileEssenceTraverserLevelFirst.cs",".cs","Code","1","// Return the final Essence64 (hotFactor newBatchRunsTheCSharpTraverserAndOldBatchFile)"
"BlueWording","FileEssenceTraverser","C:\GITX\FileEssenceTraverser\index.html",".html","Overlap","4","<title>BlueWording — Timeline & SBlue-EmployeeBudy Preview</title>"
"EWH","FileEssenceTraverser","C:\GITX\FileEssenceTraverser\index.html",".html","Overlap","4","title: ""EWH Narrative (Exactly What Happened)"","
"AI-Joe","FileEssenceTraverser","C:\GITX\FileEssenceTraverser\NARRATIVE.md",".md","Overlap","1","- **AI-Joe** -> Pragmatic, exploratory, conversational."
"Factor3Vec","FileEssenceTraverser","C:\GITX\FileEssenceTraverser\NARRATIVE.md",".md","Overlap","2","## Factor3Vec and Beyond"
"RainbowFactor","FileEssenceTraverser","C:\GITX\FileEssenceTraverser\NARRATIVE.md",".md","Overlap","1","The technical side of this repo experiments with encoding schemes (`Factor3Vec`, `Factor4Vec`, `RainbowFactor`, etc.)."
"AI-Jain","FileEssenceTraverser","C:\GITX\FileEssenceTraverser\NARRATIVE.md",".md","Overlap","1","- **AI-Jain** -> Formal, precise, careful with structure."
"EWH","CoreAutomationScripts.Vault","C:\GITY\CoreAutomationScripts.Vault\docs\Architecture\export_gitx_script_audit.md",".md","Overlap","2","b. You can run it with a default configuration (if the .config.json file is in the same directory as the script) or specify a custom ConfigFilePath parameter if the file is located elsewhere [1]."
"AI-Joe","Untitled1.ps1","C:\GITY\Untitled1.ps1",".ps1","Overlap","1","$SourceAssetsPath = ""C:\TEST\Employment_History_Analyzer\_project_plan\_software-data\_rolling-conversations\AI-Joe\0004-Request-standard-and-modern-StyleSheets\_project_plan\_software-data\_rolling-conversations\_assets\stylesheets\"""
"AI-Jain","Untitled1.ps1","C:\GITY\Untitled1.ps1",".ps1","Overlap","6","$cssL = ""ai-jain-styles-legacy.css"""
"AI-Jain","_reorganize_files.ps1","C:\TEST\_reorganize_files.ps1",".ps1","Overlap","2","Source = ""sql/AI-Jain-Learns-Infrastructure.md"""
"constFactor","BlueSand - Copy","C:\TEST\BlueSand - Copy\docs\SUMMARY.md",".md","Overlap","1","| constFactor | Base | 1939 | 0.046 |"
