"Term","Repo","File","Ext","Bucket","Frequency","Context"
"Core","Adamize-GitRepositoryAndPush.ps1","C:\gitx\Adamize-GitRepositoryAndPush.ps1",".ps1","Code","8","New-Item -Path "".\CoreAutomationScripts"" -ItemType Directory"
"Core","ai_output.html","C:\gitx\ai_output.html",".html","Overlap","9","And the tool flags methods with a complexity score above a configurable threshold (e.g., 15) in the summary."
"Core","AIDevStream","C:\gitx\AIDevStream\docs\AIDevStream.Vault\planning\README.md",".md","Overlap","1","And the tool flags methods with a complexity score above a configurable threshold (e.g., 15) in the summary."
"Core","allCore.cs","C:\gitx\allCore.cs",".cs","Overlap","22","C:\GITX\EmploymentHistoryAnalyzer\EmploymentHistory.Core>type ""EmploymentPeriod.cs"""
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\allAuraSolutions.cs",".cs","Overlap","12","namespace AuraDevStream.Core.Tests;"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\AuraDevStream.Core.MSTest\ArgumentHandlerTests.cs",".cs","Overlap","2","using AuraDevStream.Core;"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\AuraDevStream.Core.MSTest\BatchAnalyzerTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\AuraDevStream.Core.MSTest\CSharpAnalyzerTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\AuraDevStream.Core.MSTest\FileAggregatorTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\AuraDevStream.Core.MSTest\JavaAnalyzerTests.cs",".cs","Code","2","using AuraDevStream.Core;"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\AuraDevStream.Core.MSTest\Test1.cs",".cs","Code","1","namespace AuraDevStream.Core.MSTest"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\src\AuraDevStream.Core\ArgumentHandler.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\src\AuraDevStream.Core\BatchAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\src\AuraDevStream.Core\CSharpAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\src\AuraDevStream.Core\FileAggregator.cs",".cs","Overlap","1","namespace AuraDevStream.Core"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\src\AuraDevStream.Core\IFileAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\src\AuraDevStream.Core\JavaAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\src\AuraDevStream.Core\JavaScriptAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\src\AuraDevStream.Core\PowershellAnalyzer.cs",".cs","Code","1","namespace AuraDevStream.Core"
"Core","AuraSolutions - Copy","C:\gitx\AuraSolutions - Copy\src\AuraDevStream.Core\ProgramArguments.cs",".cs","Code","1","namespace AuraDevStream.Core"
